微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
R4cPx0isY,":vivo × 腾讯公益 
#一起V爱一块捐书# 活动正式启动！
你书架上那本读过的好书，或许正是某个孩子从未见过的远方。
这个夏天，让书页间的感动，成为另一个童年里珍藏的光芒。
6月15日 - 7月31日期间，前往vivo指定活动门店参与捐书，即可收获电子捐赠证书以及给微信戴上小红花状态；同时捐赠 3 本可得联名气囊支架，捐赠 5 本及以上兑换星光大使联名金贴摆件，礼品有限，赠完即止。
一本旧书就能让知识跨越山河，点亮梦想。
带上好书，和vivo、@腾讯公益 一块，让星光传递爱意，让知识流动起来。#vivo##腾讯公益#",,https://wx3.sinaimg.cn/large/001Ytvrtgy1ie5ogutfa2j614644knpd02.jpg,无,True,无,无,2026-06-15 11:00,无,71,8,8
R4crbnjaC,当歌声穿过光影，每一句都直抵人心。#vivo X300 Ultra专业V单# 2亿长焦超清晰，给你带来「山顶也是VIP」绝佳体验。超长焦视频定格舞台上的情绪流动，细腻还原层层光影与动人瞬间，让每一次开唱都更具感染力。#vivo演唱会神器##出发去创作# vivo的微博视频  ,,无,无,True,无,无,2026-06-15 10:00,微博视频号,53,2,7
R3ORWjdur,旋律与光影交汇，热爱持续升温。「大炮400」增距镜超长焦视频动态记录，#vivo X300 Ultra专业V单# 见证每一场高能对决，高光细节历历在目。专业V单更清晰，山顶也是VIP。沉浸式感受#歌手直播# 动人舞台。#出发去创作##vivo[超话]# vivo的微博视频  ,,无,无,True,无,无,2026-06-12 22:00,vivo超话,67,5,13
R3LnfuRay,"转发理由:创作不停，热爱在场。#vivo X300 Ultra专业V单# 深度参与#歌手直播# 台前幕后专业视频创作，让每一份用心表达都清晰可见。专业V单更清晰，山顶也是VIP。 #出发去创作# 与歌手2026共赴山海。  
原始用户: 湖南卫视歌手
转发内容: 创作共鸣，支持每一次突破，记录每一份纯粹。歌手2026影像技术合作伙伴#vivo X300 Ultra专业V单# ，以专业影像能力丰富#歌手直播# 内容，从幕后耕耘到舞台高光，心跳同频、热爱永续。#出发去创作# 湖南卫视歌手的微博视频  ",,无,无,False,无,无,2026-06-12 13:06,无,118,7,29
R3Ky2oX3u,#vivo夏日超值季# 盛夏焕新。现在入手 vivo 全家桶超划算，热销手机 X、S 系列搭配指定 IoT 产品组合购机至高优惠100元。焕新趁盛夏，好物一站式配齐！#教育优惠##vivo教育优惠#  [组图共4张] 原图 ,,"https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1pf89pbhj60u0140tfi02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1pf7dpffj60u0140ah602.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1pf7undaj60u01407b502.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie1pf8pcyfj60u0140agg02.jpg",无,True,无,无,2026-06-12 11:00,无,55,9,7
R3F35g04H,#vivo S60# 系列口碑大揭秘！首批先享用户真实评价来了👇📸 4K Live 原相机，记录每一个闪光时刻！✨「星星海」星芒光刻工艺，颜值能打！现正全网热销中，心动速戳链接抢购：网页链接  [组图共9张] 原图 ,,"https://ww1.sinaimg.cn/large/001Ytvrtgy1ie1hqwj5pfj61o01o0hdt02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1hqwicipj61o01o0e8102.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie1hqwig4gj61o01o0b2902.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1hqwj8r6j61o01o0kjl02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1hqwiqgij61o01o0e8102.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie1hqwioibj61o01o0hdt02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie1hqwhrucj61o01o0b2902.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie1hqwj3nlj61o01o0hdt02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie1hqwib6ij61o01o0b2902.jpg",无,True,无,无,2026-06-11 21:00,无,78,5,13
R3CT8omA1,":vivo携手@阿里云 @天猫 开启【千问智能硬件618爆款开箱夜】
#vivo X300Ultra 专业V单# 重磅亮相，专业影像加持，一键解锁旅途创作力。
🎁转发随机抽送1个【vivo TWS 5i】
神秘嘉宾即将惊喜空降！
她是奥运卫冕冠军，也是隐藏的3C硬件发烧友。
雪场上，她腾空翻转。
直播里，她用金牌标准开箱验货。
她是谁？ 6月11日晚20:30，锁定天猫官方直播间，答案即将揭晓。
#千问智能硬件618爆款开箱夜# #天猫618#",,https://wx1.sinaimg.cn/large/001Ytvrtgy1ie1cyhxsb1j60u11hdx6p02.jpg,无,True,无,无,2026-06-11 15:30,无,264,674,202
R3CGY3gmJ,":#vivo头戴降噪耳机# 499元，开启你的沉浸聆听体验。至高58dB主动降噪，隔绝纷扰；40mm大动圈单元，释放澎湃声场；238g轻量机身，久戴依然舒适；75小时超长续航，音乐不停电；支持同时连接三个跨生态设备，切换更从容。两款清新配色上线，这款降噪好搭「紫」，绝配你的VOTD。
现已正式开售，点击下方链接，即刻入手👇
官方商城：网页链接
京东自营：网页链接
天猫官旗：网页链接         [",,"https://ww2.sinaimg.cn/large/001Ytvrtgy1ie0ijrwomtj60u0140dkn02.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie0ijrl2y2j60u0140djz02.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie0ijsdwe7j60u0140te502.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie0ijtiebnj60u014043t02.jpg",无,True,无,无,2026-06-11 15:00,无,56,9,11
R3Ax55uLc,":“AI时代，我们需要怎样的个人终端？”
昨天，vivo联合@爱范儿 发起AIDONE活动，和AI爱好者们对这个问题进行了一次集体追问。
答案很清晰：折叠屏，是AI体验的最佳载体。它第一次把手机的随身性，与生产力工具的任务空间合为一体。合上，是一台随时握在手里的旗舰手机；展开，是一个可以承载完整任务流的移动工作台。
vivo X Fold系列的目标，是做AI体验最好的移动终端。让每一个普通人，都有更多机会把想法变成现实，把热爱带到台前。
#vivo X Fold6##OriginOS 6##AI轻办公神器#         [",,"https://ww2.sinaimg.cn/large/001Ytvrtgy1ie14i3lfqfj60a00hs0ye02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie14i3ubz7j60a00hsn2g02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie14i42661j60a00hsn2w02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie14i48xzdj60a00hsjwt02.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie14i4i927j60a00ebq7e02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie14i4qg5qj60a00hs7a202.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie14i4zx93j60a00hsdlq02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie14i58ascj60a00hsq8602.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie14i6py7oj61qi334u0z02.jpg",无,True,无,无,2026-06-11 09:30,vivo X Fold6,116,9,21
R3s5pCoyA,":🎬 电影级影像先锋、旅拍创作者——Sam Kolder《花园大道》幕后解密：
七天的南非旅途中，他放下所有沉重的器材，只与一群挚友和一部 #vivo X300Ultra#  同行。
从天空潜入海底，从海岸走向悬崖。烈日之下、深水之中、夜色深处、颠簸之上——越是复杂的场景，灵感越是肆意生长。
全焦段4K 120fps 10bit Log、全焦段OIS、专业录像Pro模式、专业外摄，这是他随时握住灵感的底气。
“用这部手机拍摄，让我真正走进画面里，而不仅仅是站在相机后。”
#vivo X300Ultra 专业V单# ，拍出电影感。 vivo的微博视频",,无,无,True,无,无,2026-06-10 12:00,微博视频号,539,5,68
